"data","complexo","hospital","clinica","enfermaria","leito","pacientes_dia"
"2020-08-01 00:00:00.0",ESPECIALIDADES,HAC,CIRURGIA GERAL,ENFERMARIA: 60000000000000001 - ENF. 1,LEITO: 60000000000000002 - 02,1
"2020-08-01 00:00:00.0",ESPECIALIDADES,HAC,CIRURGIA GERAL,ENFERMARIA: 60000000000000001 - ENF. 1,LEITO: 60000000000000003 - 03,1
"2020-08-01 00:00:00.0",ESPECIALIDADES,HAC,CIRURGIA GERAL,ENFERMARIA: 60000000000000001 - ENF. 1,LEITO: 60000000000000005 - 05,1
"2020-08-01 00:00:00.0",ESPECIALIDADES,HAC,CIRURGIA GERAL,ENFERMARIA: 60000000000000003 - ENF. 3,LEITO: 60000000000000015 - 15,1
"2020-08-01 00:00:00.0",ESPECIALIDADES,HAC,CIRURGIA GERAL,ENFERMARIA: 60000000000000004 - ENF. 4,LEITO: 60000000000000017 - 17,1
"2020-08-01 00:00:00.0",ESPECIALIDADES,HAC,CIRURGIA GERAL,ENFERMARIA: 60000000000000004 - ENF. 4,LEITO: 60000000000000018 - 18,1
"2020-08-01 00:00:00.0",ESPECIALIDADES,HAC,CIRURGIA GERAL,ENFERMARIA: 60000000000000007 - ENF. 7,LEITO: 60000000000000032 - 32,1
"2020-08-01 00:00:00.0",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000007 - ENF. 7,LEITO: 60000000000000035 - 35,1
"2020-08-01 00:00:00.0",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000008 - ENF. 8,LEITO: 60000000000000036 - 36,1
"2020-08-01 00:00:00.0",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000008 - ENF. 8,LEITO: 60000000000000040 - 40,1
"2020-08-01 00:00:00.0",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000009 - ENF. 9,LEITO: 60000000000000045 - 45,1
"2020-08-01 00:00:00.0",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000010 - ENF. 10,LEITO: 60000000000000046 - 46,1
"2020-08-01 00:00:00.0",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000010 - ENF. 10,LEITO: 60000000000000048 - 48,1
"2020-08-01 00:00:00.0",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000010 - ENF. 10,LEITO: 60000000000000050 - 50,1
"2020-08-01 00:00:00.0",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000011 - ENF. 11,LEITO: 60000000000000052 - 52,1
"2020-08-01 00:00:00.0",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000011 - ENF. 11,LEITO: 60000000000000053 - 53,1
"2020-08-01 00:00:00.0",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000011 - ENF. 11,LEITO: 60000000000000054 - 54,1
"2020-08-01 00:00:00.0",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000011 - ENF. 11,LEITO: 60000000000000055 - 55,1
"2020-08-01 00:00:00.0",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000012 - ENF. 12,LEITO: 60000000000000056 - 56,1
"2020-08-01 00:00:00.0",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000012 - ENF. 12,LEITO: 60000000000000057 - 57,1
