"data","complexo","hospital","clinica","enfermaria","leito","pacientes_dia"
"01-09-2020",ESPECIALIDADES,HAC,CIRURGIA GERAL,ENFERMARIA: 60000000000000001 - ENF. 1,LEITO: 60000000000000002 - 02,1
"01-09-2020",ESPECIALIDADES,HAC,CIRURGIA GERAL,ENFERMARIA: 60000000000000001 - ENF. 1,LEITO: 60000000000000005 - 05,1
"01-09-2020",ESPECIALIDADES,HAC,CIRURGIA GERAL,ENFERMARIA: 60000000000000002 - ENF. 2,LEITO: 60000000000000007 - 07,1
"01-09-2020",ESPECIALIDADES,HAC,CIRURGIA GERAL,ENFERMARIA: 60000000000000002 - ENF. 2,LEITO: 60000000000000010 - 10,1
"01-09-2020",ESPECIALIDADES,HAC,CIRURGIA GERAL,ENFERMARIA: 60000000000000003 - ENF. 3,LEITO: 60000000000000014 - 14,1
"01-09-2020",ESPECIALIDADES,HAC,CIRURGIA GERAL,ENFERMARIA: 60000000000000003 - ENF. 3,LEITO: 60000000000000015 - 15,1
"01-09-2020",ESPECIALIDADES,HAC,CIRURGIA GERAL,ENFERMARIA: 60000000000000004 - ENF. 4,LEITO: 60000000000000016 - 16,1
"01-09-2020",ESPECIALIDADES,HAC,CIRURGIA GERAL,ENFERMARIA: 60000000000000004 - ENF. 4,LEITO: 60000000000000018 - 18,1
"01-09-2020",ESPECIALIDADES,HAC,CIRURGIA GERAL,ENFERMARIA: 60000000000000007 - ENF. 7,LEITO: 60000000000000031 - 31,1
"01-09-2020",ESPECIALIDADES,HAC,CIRURGIA GERAL,ENFERMARIA: 60000000000000007 - ENF. 7,LEITO: 60000000000000032 - 32,1
"01-09-2020",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000007 - ENF. 7,LEITO: 60000000000000035 - 35,1
"01-09-2020",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000008 - ENF. 8,LEITO: 60000000000000036 - 36,2
"01-09-2020",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000008 - ENF. 8,LEITO: 60000000000000037 - 37,1
"01-09-2020",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000008 - ENF. 8,LEITO: 60000000000000040 - 40,1
"01-09-2020",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000009 - ENF. 9,LEITO: 60000000000000045 - 45,1
"01-09-2020",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000010 - ENF. 10,LEITO: 60000000000000046 - 46,1
"01-09-2020",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000010 - ENF. 10,LEITO: 60000000000000048 - 48,1
"01-09-2020",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000011 - ENF. 11,LEITO: 60000000000000054 - 54,1
"01-09-2020",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000012 - ENF. 12,LEITO: 60000000000000056 - 56,1
"01-09-2020",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000012 - ENF. 12,LEITO: 60000000000000057 - 57,1
"01-09-2020",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000012 - ENF. 12,LEITO: 60000000000000058 - 58,1
"01-09-2020",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000012 - ENF. 12,LEITO: 60000000000000059 - 59,1
"01-09-2020",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000013 - ENF. 13,LEITO: 60000000000000062 - 62,1
"01-09-2020",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000013 - ENF. 13,LEITO: 60000000000000063 - 63,1
"01-09-2020",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000015 - ENF. CTI,LEITO: 60000000000000078 - 07,1
"01-09-2020",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000017 - ENF. 15,LEITO: 60000000000000079 - 71,1
"01-09-2020",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000017 - ENF. 15,LEITO: 60000000000000080 - 72,1
"01-09-2020",ESPECIALIDADES,HAC,CLÍNICA MÉDICA,ENFERMARIA: 60000000000000020 - ENF.16,LEITO: 60000000000000107 - 77,1
"01-09-2020",ESPECIALIDADES,HAC,URGÊNCIA/ EMERGÊNCIA,ENFERMARIA: 60000000000000017 - ENF. 15,LEITO: 60000000000000083 - 75,1
"01-09-2020",ESPECIALIDADES,HAC,URGÊNCIA/ EMERGÊNCIA,ENFERMARIA: 60000000000000018 - EMERGENCIA,LEITO: 60000000000000085 - 02,1
"01-09-2020",ESPECIALIDADES,HAC,UTI ADULTO,ENFERMARIA: 60000000000000015 - ENF. CTI,LEITO: 60000000000000072 - 02,1
"01-09-2020",ESPECIALIDADES,HAC,UTI ADULTO,ENFERMARIA: 60000000000000015 - ENF. CTI,LEITO: 60000000000000074 - 04,1
"01-09-2020",ESPECIALIDADES,HAC,UTI ADULTO,ENFERMARIA: 60000000000000015 - ENF. CTI,LEITO: 60000000000000076 - 06,1
"01-09-2020",ESPECIALIDADES,HJK,CIRURGIA GERAL,ENFERMARIA: 50000000000000001 - 05,LEITO: 50000000000000297 - 05,2
"01-09-2020",ESPECIALIDADES,HJK,CIRURGIA GERAL,ENFERMARIA: 50000000000000002 - 06,LEITO: 50000000000000299 - 01,1
"01-09-2020",ESPECIALIDADES,HJK,CIRURGIA GERAL,ENFERMARIA: 50000000000000002 - 06,LEITO: 50000000000000302 - 04,1
"01-09-2020",ESPECIALIDADES,HJK,CIRURGIA GERAL,ENFERMARIA: 50000000000000005 - 02,LEITO: 50000000000000278 - 02,1
"01-09-2020",ESPECIALIDADES,HJK,CIRURGIA GERAL,ENFERMARIA: 50000000000000005 - 02,LEITO: 50000000000000280 - 04,1
"01-09-2020",ESPECIALIDADES,HJK,CIRURGIA GERAL,ENFERMARIA: 50000000000000006 - 03,LEITO: 50000000000000282 - 01,1
"01-09-2020",ESPECIALIDADES,HJK,CIRURGIA GERAL,ENFERMARIA: 50000000000000006 - 03,LEITO: 50000000000000284 - 03,1
"01-09-2020",ESPECIALIDADES,HJK,CIRURGIA GERAL,ENFERMARIA: 50000000000000006 - 03,LEITO: 50000000000000286 - 05,1
"01-09-2020",ESPECIALIDADES,HJK,CIRURGIA GERAL,ENFERMARIA: 50000000000000007 - 04,LEITO: 50000000000000287 - 01,1
"01-09-2020",ESPECIALIDADES,HJK,CIRURGIA GERAL,ENFERMARIA: 50000000000000007 - 04,LEITO: 50000000000000289 - 03,1
"01-09-2020",ESPECIALIDADES,HJK,CIRURGIA GERAL,ENFERMARIA: 50000000000000041 - 09,LEITO: 50000000000000165 - 01,1
"01-09-2020",ESPECIALIDADES,HJK,CIRURGIA GERAL,ENFERMARIA: 50000000000000079 - ISOLADO,LEITO: 50000000000000435 - 01,1
"01-09-2020",ESPECIALIDADES,HJK,CIRURGIA GERAL,ENFERMARIA: 50000000000000081 - 01,LEITO: 50000000000000445 - 02,1
"01-09-2020",ESPECIALIDADES,HJK,CIRURGIA GERAL,ENFERMARIA: 50000000000000081 - 01,LEITO: 50000000000000446 - 03,1
